,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8569719320889255,0.7209370827442534,0.705420051214593,1264.8236668813267,76.52086126363376,146.59388104053127,48.34235628399551,1052.045434460921,65.58271566410956,120.54220648727156,41.15936964907219,1024.575275413202,63.985998025932915,118.59662677799984,40.410755410358554,0.680707571418667,0.5841162296331638,0.5726623052236021,66.8045301620069,6.15303949625482,8.358173207854273,2.584286002584454,56.775235959116806,5.235198503808562,7.217552956539617,2.2517814105520357,55.287320703714286,5.110061249952744,7.121063324578639,2.223233378099688,27.66414273021627,51.373370056756215
vlpcook base,0.9219499246969136,0.7463053982062866,0.7234027339328605,1362.1663881517095,82.92691894790607,154.55219916495062,52.481981950117934,1086.17157946337,66.86443048237867,127.79348942913933,42.54318045064003,1050.6625381621607,64.93956077367477,123.14790600174456,41.46018917941645,0.7568973479140532,0.6333726669359248,0.6214386485574077,74.02639017373222,6.819574652186836,9.29983464512643,2.893754570716974,61.39662862835596,5.683947264476503,7.877139210802228,2.431864140984467,59.80316865982386,5.5421729186568225,7.814704387895241,2.4007459278863656,25.607898068271766,46.9653784116462
clip img test,1.0567536196025122,0.8182946563876388,0.7803784910212483,1525.6571003707934,91.64858748049879,175.93084135474442,64.47953552071336,1172.8577840031967,72.248382084417,140.7276185758588,47.98876829200854,1114.4300511364866,68.75490170501277,135.70147044116428,45.58326750316941,0.9066122288504925,0.7215134866676857,0.6968255340116201,88.27643238052912,7.832430059018189,11.042599555228342,3.6852324663002993,68.85172054275061,6.301379174528809,8.929860452581323,2.9157817904592354,66.48806681607813,6.036053478172145,8.770871093631872,2.8078385458587203,19.677654725578225,34.86008886788958
clip text test,1.0092730305273068,0.7935368667926341,0.7595683274706168,1492.9930455832807,89.9904460374802,170.8071534654688,57.4489396897384,1143.2317349592975,70.71184925478335,135.27466517655003,46.1901196808808,1096.9763920255625,67.30470447294125,130.53376146019875,44.0508938240406,0.9248655692871663,0.7169877075602352,0.6941296146077561,92.62809960931668,7.915235155503953,11.953520320676434,3.535746412350746,69.8061375659362,6.208992154067733,9.390445403151874,2.7487476728730065,67.42491782883228,5.978978522462053,9.108682746236061,2.6800970810243383,19.866368968962643,36.128683933068565
clip text_img test,0.968976404562321,0.7709331400338661,0.7449677514836386,1405.7381835805613,85.75418838970683,158.95134722490045,58.328252982285456,1107.1109378584044,68.508162462286,130.73845886039098,45.37005041932231,1068.2985124529166,65.50741721778296,128.1176850736444,43.85736081674582,0.851051835930551,0.6877422619526921,0.6655796444185813,84.93820249882346,7.357152049440843,10.757966491674901,3.283354343580651,66.7536307253329,6.00554178401916,8.725666818748895,2.685382831636541,64.48259757378592,5.806706904887937,8.484007172439892,2.596789373240252,21.56863610487098,39.86986919342874
deep direct_ingrs_3_branches base food_test_recipe_img,0.8937811913725511,0.7399603429166242,0.7173232193010787,1314.0455894930067,79.49516706632924,150.03309490199996,51.73556748324816,1080.0364759871804,66.47280067624756,124.81629688680529,42.504112343757804,1042.6752984056393,63.94571412257942,122.23767075198027,41.360006989407026,0.6918066038878625,0.5885973541090711,0.5771556229329554,67.08657192861858,6.263006755853055,8.341040812297285,2.6889893455202762,56.702809247582444,5.272856530912684,7.2794150235085695,2.2882816245406596,55.799493699994976,5.143301381391123,7.162782532705386,2.244769172915009,26.480284745205612,49.45733006131583
deep_ht direct_ingrs_3_branches base food_test_recipe_img,0.9025546922823819,0.7463333099899508,0.7211096965552946,1330.7988659381783,80.98172138712793,150.31273377190396,51.939664754843335,1088.5909687566668,66.57024204432591,125.72289959796362,43.29478079844526,1048.5077739397393,64.01940037203357,122.90637927213595,41.74691342903589,0.6805125106671357,0.581443015132838,0.570636765047853,65.8799429831036,6.088039212732538,8.408663841977857,2.6395090840254696,56.022972793688396,5.178423373405264,7.241327964701058,2.2643252754203416,55.0038245872098,5.085474980727382,7.119932018653399,2.2164575877258095,26.77633628822398,50.24384738418163
deep_ht direct_ingrs_3_branches base food_test_recipe_only,0.863579874361298,0.7251675387171151,0.7050405561467051,1275.137114680819,78.84362497384797,143.08725125613051,48.86950810065366,1058.3755454676248,65.39930610562851,120.59661985176463,42.003091648821616,1024.0230507101844,63.450407115483934,118.15667451901614,40.86469726229921,0.6774459199586407,0.5796069301021185,0.5653783500949803,66.11201340770215,6.143681825686376,8.393625324435074,2.5571816723330065,56.07788325947824,5.195105338813997,7.180247376939173,2.2397126332923945,54.448762439321506,5.046048109527936,7.062032083736914,2.19202359684679,26.783240035949095,50.536948652850356
